C:\Documents and Settings\Korisnik\Desktop\21C01 rsponsed SDS 4E4M\21C01 response SDS 4E4M 1.csv;30-1-21;11:31:23

Inc. Vol.;Total Volume;Time;Total Time; mV; pH
0.000;0.000; 0 ; 0 ;57.1;0.000
0.010;0.010; 60 ; 60 ;49.9;0.000
0.010;0.020; 60 ; 120 ;45.3;0.000
0.010;0.030; 60 ; 180 ;40.5;0.000
0.010;0.040; 60 ; 240 ;38.1;0.000
0.010;0.050; 60 ; 300 ;33.5;0.000
0.010;0.060; 60 ; 360 ;34.3;0.000
0.020;0.080; 60 ; 420 ;26.9;0.000
0.020;0.100; 60 ; 480 ;22.3;0.000
0.030;0.130; 60 ; 540 ;16.4;0.000
0.050;0.180; 60 ; 600 ;11.2;0.000
0.070;0.250; 60 ; 660 ;3.1;0.000
0.100;0.350; 60 ; 720 ;-3.9;0.000
0.150;0.500; 60 ; 780 ;-12.7;0.000
0.200;0.700; 60 ; 840 ;-24.0;0.000
0.300;1.000; 60 ; 900 ;-34.6;0.000
0.400;1.400; 60 ; 960 ;-41.0;0.000
0.600;2.000; 60 ; 1020 ;-51.0;0.000
0.800;2.800; 60 ; 1080 ;-63.6;0.000
1.200;4.000; 60 ; 1140 ;-73.0;0.000
1.500;5.500; 60 ; 1200 ;-83.7;0.000
2.000;7.500; 60 ; 1260 ;-90.0;0.000
2.500;10.000; 60 ; 1320 ;-98.0;0.000
3.000;13.000; 60 ; 1380 ;-103.7;0.000
3.000;16.000; 60 ; 1440 ;-108.0;0.000
4.000;20.000; 60 ; 1500 ;-109.8;0.000
